country,emb_0,emb_1,emb_2,emb_3
T2,-0.8894326544400094,-0.36754032756320465,-0.12647815047320204,-0.734367594207471
T3,0.3014441442457964,-0.36569014961456486,-0.733601719349419,-0.08110075505988387
T4,-0.16086314757587747,-0.3526366353388856,-0.4660944429563643,-0.12135371116962244
T5,1.121287630206659,-0.08548445506619504,-0.940300515460661,0.31047214006913604
T6,2.581732971383216,0.3465080674345599,0.6237679379550161,-0.03114882628992395
T7,-0.9640295509861653,-0.4157745958037516,-0.16540797689461592,-0.08415410661111235
TC,-1.4664706444269786,-0.3699916827890625,0.3205400150760785,-0.9917876917688583
TD,5.042986935486793,1.1043388526215199,1.3143176789141229,0.22316037812233644
TG,2.3252845055797438,0.2981975947080653,0.1744191546722085,-0.0021125651036039846
TH,-0.2714639239492786,-0.3774084946662937,-0.5678014895884358,0.14108159511629392
TJ,1.2661449749645923,-0.36729143242262174,-1.4390965708761665,0.47199470788663367
TL,1.2430351667091992,-0.31542463596389514,-0.9541895845732861,0.51365291000744
TM,0.16258639915011155,-0.4358778245066388,-0.7326330818540361,0.17297655896720576
TN,-0.27435127087260736,-0.34041484461676114,-0.3982114094875382,-0.615232607729473
TO,0.9281298584775548,-0.45192538553038436,-1.5562692432736078,0.8154271549170461
TR,-1.5493950452118928,-0.3095878506361003,0.011477979205822945,-0.6654711961230976
TT,-0.8555370942913076,-0.3679352868629832,-0.1992107259761236,0.5564377083987025
TV,0.41601138046892583,-0.12525138662798133,-0.6961992104517507,-0.6684352093214357
TZ,3.6849395899588058,0.6653107599956318,0.8674207949309819,0.015346317859150844
UA,-0.29651748344710016,-0.29336667013146883,-0.27118110212657803,-0.5696440526440896
UG,2.5233931530335565,0.32807711219963914,-0.23187052550118994,0.7158152910118672
US,-2.1347904456735867,-0.16767967942800607,1.0661030807758862,0.5466535951639055
UY,-1.755202732511879,-0.3370329219552377,0.09587305624745579,-0.862216078776927
UZ,0.7847661924990894,-0.17185027031851774,-0.9249878248522181,-0.2836945310460227
V1,2.656686089626506,0.39019589120129977,0.660919805313627,-0.11809625612127607
V2,0.6705292925502464,-0.2842601693991858,-0.5206612651597888,0.05114820044560375
V3,-0.5349225945881453,-0.40633332367258196,-0.33140492963709384,-0.18403623661405485
V4,-1.9952038493357878,-0.28274349123543574,0.6370289134997864,0.25032415854049545
VC,-0.7623155689186337,-0.5805955596863532,-1.3230213749558184,0.5502408120392822
VI,-1.5430715215798976,0.05649990301634918,0.8416991311560644,-0.6987734831263742
VN,0.48325131513080727,-0.34868373783274204,-1.1650466900308427,0.5124597973644442
VU,2.4841545897906236,0.07124763863676248,-0.395879774749557,0.5469969089220167
WS,0.8134149018267133,-0.6183320475083971,-1.4447294782593292,0.9924073031945554
XC,-1.9339515519444486,-0.27440738798592473,0.46691036553144044,0.3690264763010779
XD,-1.9368983909825992,-0.29261767774907227,0.6056286466425741,0.2538173564001538
XE,3.017068964725706,0.4188465127532632,0.561888366640791,0.06983667837454198
XF,-0.07390927577228781,-0.3889629618299703,-0.48036516026492676,-0.08805329065014479
XG,2.449833870704152,0.2461247632797572,0.2137965303901011,-0.028025811702635697
XH,2.1598382862890007,0.2550105798911459,0.17876000976634,-0.35572773673844726
