iso3_mapped,emb_0,emb_1,emb_2
QAT,-3.4399220346820893,0.3176628535048151,2.558442138570837
ROU,-0.6147748427680422,-0.3697683191787203,-0.1154273637658077
SRB,-0.6135334569160404,-0.4455647639807419,-0.4279851107804527
RUS,-1.2451929515218372,-0.3440875531861828,0.2259715737635544
RWA,3.490727728148366,0.7072297786926085,0.3097001607413076
SAU,-2.118678954562953,-0.2164642383943533,0.8247016602369491
SLB,2.511668423762315,0.1690030762041744,-0.7956379333501834
SYC,-0.7201319052044801,-0.4856842425846999,-0.6048653769488711
SDN,2.63977238970359,0.2328242269814123,0.3008779182111331
SWE,-2.844224959677517,-0.378942456170256,0.4199405374412425
SGP,-4.206923120712699,4.202968661602719,1.3200613149427838
SVN,-1.375350451988296,-0.4707174001461759,-0.2416746780715184
SVK,-0.8649383334471012,-0.4171143423434331,-0.1392872559622286
SLE,3.6873030330401018,0.8795772745874902,0.8921931959386227
SMR,-1.7447232575266438,0.3071809583514797,1.6937410913151152
SEN,1.9231296071859392,0.1582840346780022,0.3381472648646386
SOM,1.043318121556175,-0.1439923906792583,-0.0890608357648825
SUR,-0.0537054640540691,-0.2342338686582375,0.0696847721002536
STP,0.5729242913605955,0.0109280508752392,-0.0763148893691085
SLV,-0.1080291256719874,-0.1945942190297349,-0.0688334049307766
SXM,-1.7146234007757095,0.524405847114997,0.793492060401588
SYR,2.286346636174098,0.6041565594677906,0.4651736978906074
SWZ,1.1403741593854286,-0.3523810130645686,-0.6669234206522882
TCA,-1.4664706444269788,-0.3699916827890626,0.3205400150760784
TCD,5.042986935486793,1.10433885262152,1.314317678914123
TGO,2.325284505579744,0.2981975947080652,0.1744191546722085
THA,-0.2714639239492786,-0.3774084946662938,-0.5678014895884358
TJK,1.2661449749645923,-0.3672914324226217,-1.4390965708761665
TLS,1.2430351667091992,-0.3154246359638951,-0.9541895845732864
TKM,0.1625863991501115,-0.4358778245066388,-0.7326330818540361
TUN,-0.2743512708726073,-0.3404148446167612,-0.3982114094875382
TON,0.928129858477555,-0.4519253855303843,-1.5562692432736078
TUR,-1.549395045211893,-0.3095878506361003,0.0114779792058229
TTO,-0.8555370942913075,-0.3679352868629831,-0.1992107259761236
TUV,0.4160113804689259,-0.1252513866279813,-0.6961992104517507
TZA,3.6849395899588058,0.6653107599956318,0.8674207949309818
UKR,-0.2965174834471001,-0.2933666701314688,-0.271181102126578
UGA,2.5233931530335565,0.3280771121996391,-0.23187052550119
USA,-2.1347904456735867,-0.167679679428006,1.0661030807758862
URY,-1.755202732511879,-0.3370329219552376,0.0958730562474557
UZB,0.7847661924990894,-0.1718502703185177,-0.924987824852218
VCT,-0.7623155689186337,-0.5805955596863532,-1.3230213749558184
VIR,-1.5430715215798976,0.0564999030163491,0.8416991311560644
VNM,0.4832513151308073,-0.3486837378327421,-1.1650466900308425
VUT,2.4841545897906236,0.0712476386367624,-0.3958797747495571
WSM,0.8134149018267134,-0.6183320475083971,-1.4447294782593294
AZE,-1.9339515519444483,-0.2744073879859247,0.4669103655314404
LUX,3.0170689647257065,0.4188465127532632,0.561888366640791
GBR,-0.0739092757722878,-0.3889629618299703,-0.4803651602649267
MLT,2.449833870704152,0.2461247632797571,0.213796530390101
GBR,2.159838286289001,0.2550105798911459,0.1787600097663398
MEX,2.571205489717194,0.2358102473627408,0.2279839509453457
GBR,2.725525265464623,0.290559805297429,0.3229419535001819
AZE,0.5625308435620774,-0.2512313753749692,-0.2806097077265965
ESP,-0.538558774842088,-0.3974577921116373,-0.3731145513125575
BHS,-2.12994281219211,-0.1865110065222355,1.026807659497992
ZAF,-0.6042782443867527,-0.4821424042409276,-0.4393124227111345
BGR,2.581732971383217,0.3465080674345606,0.6237679379550164
CHN,2.5405525714483765,0.2502700402512418,0.5669276802102431
ZWE,2.568448235729934,0.4560747426362925,0.7056352820833552
SVN,-0.903442401727655,-0.3714569835222933,-0.1253172858702056
ZMB,1.138086548865849,-0.1459480955362101,0.0201478494253825
HUN,0.5270809650781121,-0.2569699178327702,-0.253074611327165
ZWE,1.6958840646544753,0.0177766541129481,-0.1580444872773941
CUB,-1.043768691993786,-0.4646808398673084,-0.3465292158387665
IMN,-0.5219442657552924,-0.5700404688365819,-0.6661231721731184
BGD,-0.1848481470947874,-0.3071567676433363,-1.1413753034377554
LIE,-0.3087957758342533,-0.8445226022534542,-1.7902264388856133
NCL,-0.7244153049898622,-0.5332795016371947,-0.367083243609396
PYF,-0.5800000367954611,-0.5067258203609274,-0.4767475547550243
SSD,3.7511094085814447,0.6783974888123518,1.782899334286722
YEM,2.4359752051210988,0.3290706909031309,0.2896427849172213
RUS,-0.7788375654607014,-0.21900790696479,-0.0941842266152517
ERI,1.8763983106165392,0.117073687429785,0.705125147062899
GIB,-1.6762189088537969,1.4276842983607856,-0.6301077118182328
GUM,-1.006013558814572,-0.1494724173272035,0.08115372592389
PRK,0.5032332808715565,0.1162444593542266,0.4660258889963709
MCO,-3.69141897777371,8.827385410735069,-3.966491628038568
MAF,-1.149577433787333,0.0702592644516824,0.1240704854092617
MNP,-0.9425432671563616,-0.2611435841098587,0.0695651547462503
VEN,-0.8654755798075,-0.3025025014454507,0.0566295001193735
VGB,-0.0280962461636076,-0.3368765152273399,-0.542048724227337
