iso3,emb_0,emb_1,emb_2
BT,0.5057324735673089,-0.41414269304022383,-0.905800357889636
BW,0.18237642270035773,-0.15359249093528762,0.5448394131126373
BY,-1.0452819558430761,-0.33838267060353633,-0.07460416747900958
BZ,0.2830226653328417,-0.48063958329310774,-0.7601839052536706
CA,-2.1141488528106196,-0.2946198441066738,0.6332052114543736
CD,2.7604283021947063,0.4348211787074369,1.0117553665634047
CF,4.497458961914618,1.0517736266870066,1.60816379820268
CG,0.7689718643462548,-0.003150212036338584,0.3641471970857193
CH,-2.4448980503981854,-0.03007754633549939,1.2454602455413812
CI,1.817182645438417,0.17104618289360746,0.2875604992164158
CL,-1.4973132097926543,-0.3709315802509698,0.1218474905733671
CM,1.8295541905920774,0.18994543854928547,0.37656302507248274
CN,-0.3925133935703644,-0.35733849662659495,-0.42704769325559105
CO,-0.8666851781291324,-0.3980949024401805,-0.29430144747641385
CR,-1.5800502074372853,-0.5284543980632889,-0.5903775140221593
CV,-0.4553974226832386,-0.39121402593074556,-0.45611217253563835
CW,-2.2364456078663295,-0.3988883569154844,-0.2774729861794742
CY,-1.4316982532577884,-0.33926837968550366,0.15174732420423187
CZ,-1.5947301676832804,-0.29685750712270187,0.29684141923146246
DE,-2.0991670607387793,-0.11756291862584103,0.8576893197512266
DJ,0.04971603196790487,-0.22767211881743055,0.17184442766600824
DK,-2.82465559065493,-0.24294366722217606,0.6640245037743036
DM,-0.5302112212609417,-0.3099095436325464,-0.47224225051637425
DO,-0.6001196957222739,-0.24618065186432808,0.010158645777744097
DZ,-0.5892149815369422,-0.3843678303433963,-0.5108370895753219
EC,-0.3985897316836941,-0.43508709151429764,-0.5816831400318495
EE,-1.5983987055206206,-0.44835032874050373,-0.03142254575177914
EG,0.44628328617857727,-0.3541040995795051,-0.6803509523335624
ES,-2.0126185762047957,-0.37397924796866977,0.11662432221098136
ET,4.083865192388214,0.6840163606253488,0.3403162619833728
EU,-1.8264897935460818,-0.3077055359883436,0.3624083247162919
F1,2.5050141821678356,0.36454698864149987,0.5186461737992957
FI,-2.5839203024709225,-0.5204014229325119,-0.1399024200078462
FJ,0.15548124871544736,-0.3259226422378708,-0.5858173648757085
FM,1.8714583479261158,-0.08465872048311504,-1.1070603528132736
FO,-0.33438258771764057,0.010358838963763805,0.41922526603709465
FR,-1.8779132308933437,-0.2543921914035545,0.5335362804985345
GA,-0.48806013140233856,-0.1330611358518696,0.6335225003675397
GB,-2.256465641329184,-0.2586478898242807,0.33101367713991325
GD,-0.11647069657260965,-0.45146532449206545,-1.0853261384528943
GE,-0.6325592750439025,-0.5101205467159293,-0.774235113437923
GH,1.2229242285073751,0.04021422582278883,-0.19927281262140084
GL,-1.2473889468038386,0.24206863178012006,1.3378252832900952
GM,1.0333524430604635,0.16308923000458145,-0.331250560552579
GN,2.275809988200461,0.25423392247827936,-0.1106337111812901
GQ,-0.21987180548812688,-0.14694806700340626,0.44589325027605364
GR,-1.4183819566086768,-0.3679992919278414,0.02609508750740616
GT,0.7602305726556152,-0.1531092443379377,-0.06730674004714128
GW,3.004167226831089,0.6708995205581674,0.23942646920376343
GY,1.0787347460552208,-0.2700998969871984,-0.8325049353534122
